"파일명","소스 주제","내부 구조","작업 진행 내용"
"Sql v12 full new 02 local.py","로컬 소스 디렉토리 내의 SQL 쿼리에서 암호화 대상 테이블 및 칼럼 사용 현황 매칭 및 리니지 분석 프로그램","MySQL DB 커넥터 자동 로드, 테이블/뷰 정의 DML 쿼리 추출 로직, CTE(Common Table Expression) 리니지 분석 및 SIMPLE/DETAIL 모드 빌더, 테이블 적재 및 CSV 저장 모듈","원격 서버 DB 조회 기반으로 로컬 또는 NAS 디렉토리 내 .sql, .hql, .uld, .ld, .sh 파일을 스캔하여 매칭 결과를 DB 테이블 및 out 디렉토리에 CSV로 적재하는 작업 수행"
"p190872_local_chk_v01.py","암호화 검토용 칼럼 매칭을 위한 쿼리 분석 및 추출 프로그램 (초기 버전)","DB 검색 기준 테이블 로드, 주석 제거를 포함한 쿼리 전처리, 완전일치 정규식 칼럼 매칭, 파일/DB 적재 모듈","암호화 컬럼이 소스 코드 내에서 실질적으로 사용되는지 단순 분석을 위해 최초 구현 및 기본 CSV 추출 완료"
"p190872_local_chk_v02.py","파라미터 분기 및 결과 테이블 지정을 개선한 암호화 검증 2차 버전","실행 파라미터 파서, mid 옵션에 따른 디렉토리 매핑, 테이블별 insert/delete 처리 로직","타겟 테이블을 유연하게 지정하고 DB 적재 시 mid 기준으로 중복 방지 처리를 추가하는 고도화 수행"
"p190872_local_chk_v02_gm.py","제미나이 2단계 보완 사항이 적용된 암호화 칼럼 검증 소스","mysql.conf 접속 모듈, regex 완전 매칭 엔진, include/exclude 조건문 판정, mid 분할 처리","검증 성능 최적화 및 mysql.conf 설정을 통한 로컬 테스트 적재 보완"
"p190872_local_chk_v03_gm.py","검색기준 테이블 컬럼 구조를 표준화한 암호화 검증 3차 버전","REF_TABLE_COLS 표준 레이아웃 정의, --chk 옵션(default/encdec_no) 추가, 쿼리 추출 로직 보완","사용자 요구사항인 암/복호화 키 포함/제외 필터를 추가하고 스키마 매핑 표준화 적용"
"p190872_local_chk_v04_gm.py","컬럼 생략/포함 예시 조건을 전면 보완한 4차 검증 버전","is_pure_column 상세 판정기, 대입식(=)/함수/리터럴 탐지 정규식, 화면 출력 및 파일 생성 이중화","단순 alias 나열, 동일 칼럼 조인 등의 생략 조건과 특수기호/가공 연산 등의 포함 조건을 엄격하게 보완 적용"
"p190872_local_chk_v05_gm.py","예외 처리 및 상세 화면 출력을 강화한 5차 버전","mid별 개별 파일 저장 구조, 화면 출력 파일(_print.txt) 생성, 제외 로그 파일(_exclude.txt) 생성 모듈","탐색 로그 및 무시 조건 분석 결과의 투명성을 위한 제외 행 전용 로그 저장 및 mid 분리 로직 안정화"
"p190872_local_chk_v05_gm_20260624.py","v05 버전의 2026-06-24 기준 보관 백업 소스","v05_gm과 동일 (mid 파일 분리, is_pure_column 룰 적용, CSV/DB 적재 모듈)","다음 차수 개발 및 대규모 리팩토링 직전의 기능 안정 버전 백업"
"p190872_local_chk_v06_gm.py","파일명/테이블명 명명 규칙에 매개변수를 적용한 6차 버전","--where, --chk 매개변수 값에 맞춘 동적 파일/테이블명 생성 모듈, DB DDL 및 Delete/Insert 배치","다수의 검증 조건별 결과물을 동시 관리할 수 있도록 접미사 규격 고도화 작업 완료"
"p190872_local_chk_v07_gm.py","원본 주석 보존 및 query_text 스키마 분리를 적용한 7차 버전","raw/clean 쿼리 분리 파싱, CSV 필드 레이아웃에서 query_text 제외 처리, exclude 테이블 별도 적재 모듈","CSV 생성 시 대용량 쿼리 텍스트를 제거하고 DB 적재 시에만 포함하도록 보완하여 파일 크기를 최적화함"
"p190872_local_chk_v08_gm.py","암호화파일 정상처리 여부 검증 및 특정 확장자 한정 필터가 추가된 최종 쿼리 분석 프로그램","convert_key_to_code 키 변환기, 세 가지 케이스(Case 1/2/3) 판정 로직을 탑재한 verify_default_csv 검증기, allowed_exts 확장자 필터(uld, ld, sh, sql, hql)를 적용한 파일 탐색 엔진","default 분리 CSV 파일 내 암복호화 상태와 키의 매칭 상태를 검증하는 판정 로직을 완비하고 탐색 범위를 지정된 주요 확장자로만 좁혀 검출 효율성을 극대화함"
"sql_check_encrypt_v001.py","CSV 기준 암호화 대상 컬럼 사용 현황 매칭 프로그램","로컬 CSV 파일 스캐너, 소스 쿼리 및 컬럼 단어 정규식 완전일치 매칭기, DB 적재 엔진","DB 조회가 아닌 오프라인 CSV 리스트를 전달받아 소스 코드에서 사용 여부를 검출하는 배치 작업 수행"
"sql_est_010.py","소스 파일 내 DML/DDL 쿼리 문장 추출 및 크기 측정 프로그램","uld, ld, sh, sql, hql 확장자 파일 탐색기, 세미콜론(;) 단위 쿼리 스플리터, dat 형식 구분자 출력기","분석 대상 소스 내 유효 SQL 쿼리 라인수를 추출하여 전체 소스 및 쿼리 규모 산정 데이터 생성"
"sql_est_010_load.py","추출된 쿼리 dat 파일을 DB에 로드하는 적재 프로그램","파이프라인(|) dat 파서, DB 테이블 생성 및 다중 INSERT 엔진","쿼리 추출 결과물(dat)을 데이터베이스 테이블로 일괄 벌크 로드하여 중앙 관리 체계 마련"
"sql_est_010_load_line.py","추출 쿼리를 라인 단위로 매핑하여 DB에 적재하는 프로그램","라인 넘버링을 포함한 쿼리 파서, 라인 단위 적재 테이블 스키마, 벌크 insert 모듈","쿼리의 단락별 행번호 정보를 보존한 상태로 DB에 적재하여 디버깅 추적성을 높이는 작업 진행"
"sql_lng_015_emrput.py","SQL DML에 대한 리니지(Dependency) 분석 및 DB 적재 프로그램","WITH절 및 서브쿼리 소스/타겟 테이블 파싱 엔진, DB 테이블 자동 생성 및 Delete/Insert 로직","대규모 SQL 배치 쿼리 내의 데이터 흐름(Lineage)을 구조적으로 해석하여 리니지 맵 정보를 DB에 저장하는 배치 구현"
"sql_lng_015_with.py","CTE(WITH절) 분석 모듈 고도화 버전","중첩 WITH절 해석 스택, 소스-임시-타겟 테이블 추적 맵, 결과 CSV 출력 엔진","WITH절로 명명된 가상 테이블과 원본 물리 테이블 간의 상관 관계를 세분화하여 분석하도록 고도화"
"sql_v12_full_emrput.py","대규모 통합 SQL 리니지 및 암호화 검증 전체 처리 프로그램","쿼리 리니지 추적기, 칼럼 매칭 판정 버퍼, MySQL DDL/INSERT 벌크 엔진","전체 디렉토리 소스의 리니지와 암호화 컬럼 검증 데이터를 원스톱으로 병렬 분석 및 DB 적재 공정 구축"
"sql_v12_full_new.py","외부 CSV 기반 칼럼 매칭 기능이 추가된 통합 쿼리 분석기","경로 포함 CSV 로더, 테이블 및 칼럼 정규식 동시 일치 검사기, 리니지/쿼리텍스트/칼럼매칭 3대 테이블 통합 적재기","리니지 분석 결과물에 더해 암호화 대상 컬럼 매칭 결과물까지 한 번에 산출하여 다차원 통합 분석 기능 구현"
"sql_v12_full_new_02.py","분석 성능 및 오류 처리가 개선된 통합 쿼리 분석기 2차 버전","쿼리 전처리 스플리터, regex 단어 매칭 인덱스, 통합 DB 적재 배치 로직","복잡한 Nested SQL 문법 오류를 극복하고 대량 소스 탐색 속도를 최적화하는 튜닝 수행"
"sql_v12_full_new_03_local.py","외부 DB 조회 매칭을 접목한 통합 쿼리 분석 로컬 버전","데이터베이스 기준 테이블 로더, 로컬 디렉토리 전용 파일 스캐너, SIMPLE/DETAIL 리니지 뷰어","원격 서버 환경 의존성을 배제하고 로컬 장비 또는 마운트 장치에서 직접 쿼리를 분석하고 결과를 추출/적재하도록 개편"
